Section	Label	Variable	UI	Type	Min	Max	Default	Unit	enum	Notes	Hover help text in the status bar
ADM-OSC	Cart 4 Axis Y Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 4 Axis Y Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 4 Axis Y Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 4 Axis Y Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 4 Axis Z Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Z).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 4 Axis Z Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 4 Axis Z Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 4 Axis Z Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 4 Axis Z Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 4 Axis Z Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 4 Axis Z Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 4 Axis Z Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Polar 1 Azimuth Offset	admPolarAzimuthOffset	number box	FLOAT	-180.0	180.0	0.0	degrees		For Polar mapping 1.	ADM-OSC azimuth offset in degrees, added to the incoming `azimuth` value before mapping to WFS coordinates. Range -180 to 180. The WFS-DIY internal convention is 0 = audience, +90 = stage right (+X), positive = counter-clockwise from above; use this offset to align with senders that use a different zero.
ADM-OSC	Polar 1 Invert Azimuth	admPolarAzimuthFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 1.	Invert the direction of incoming azimuth.
ADM-OSC	Polar 1 Invert Elevation	admPolarElevationFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 1.	Invert the sign of incoming elevation.
ADM-OSC	Polar 1 Distance Min	admPolarDistMin	number box	FLOAT	0.0	50.0	0.0	m		For Polar mapping 1. Legacy param: kept for project-file migration.	Minimum physical distance (m) at ADM-OSC distance=0.
ADM-OSC	Polar 1 Distance Breakpoint	admPolarDistBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Polar mapping 1. Normalized breakpoint of the piecewise-linear distance mapping.	Normalized breakpoint (0-1) for piecewise linear distance stretch.
ADM-OSC	Polar 1 Distance Inner Width	admPolarDistInner	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 1. Extent from center to breakpoint.	Physical extent (m) from center to breakpoint.
ADM-OSC	Polar 1 Distance Outer Width	admPolarDistOuter	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 1. Extent from breakpoint to max distance.	Physical extent (m) from breakpoint to max distance.
ADM-OSC	Polar 1 Distance Center	admPolarDistCenter	number box	FLOAT	-50.0	50.0	0.0	m		For Polar mapping 1. Physical distance (m) where normalized 0.0 maps to.	Physical distance (m) where normalized 0.0 maps to.
ADM-OSC	Polar 2 Azimuth Offset	admPolarAzimuthOffset	number box	FLOAT	-180.0	180.0	0.0	degrees		For Polar mapping 2.	ADM-OSC azimuth offset in degrees, added to the incoming `azimuth` value before mapping to WFS coordinates. Range -180 to 180. The WFS-DIY internal convention is 0 = audience, +90 = stage right (+X), positive = counter-clockwise from above; use this offset to align with senders that use a different zero.
ADM-OSC	Polar 2 Invert Azimuth	admPolarAzimuthFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 2.	Invert the direction of incoming azimuth.
ADM-OSC	Polar 2 Invert Elevation	admPolarElevationFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 2.	Invert the sign of incoming elevation.
ADM-OSC	Polar 2 Distance Min	admPolarDistMin	number box	FLOAT	0.0	50.0	0.0	m		For Polar mapping 2. Legacy param: kept for project-file migration.	Minimum physical distance (m) at ADM-OSC distance=0.
ADM-OSC	Polar 2 Distance Breakpoint	admPolarDistBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Polar mapping 2. Normalized breakpoint of the piecewise-linear distance mapping.	Normalized breakpoint (0-1) for piecewise linear distance stretch.
ADM-OSC	Polar 2 Distance Inner Width	admPolarDistInner	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 2. Extent from center to breakpoint.	Physical extent (m) from center to breakpoint.
ADM-OSC	Polar 2 Distance Outer Width	admPolarDistOuter	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 2. Extent from breakpoint to max distance.	Physical extent (m) from breakpoint to max distance.
ADM-OSC	Polar 2 Distance Center	admPolarDistCenter	number box	FLOAT	-50.0	50.0	0.0	m		For Polar mapping 2. Physical distance (m) where normalized 0.0 maps to.	Physical distance (m) where normalized 0.0 maps to.
ADM-OSC	Polar 3 Azimuth Offset	admPolarAzimuthOffset	number box	FLOAT	-180.0	180.0	0.0	degrees		For Polar mapping 3.	ADM-OSC azimuth offset in degrees, added to the incoming `azimuth` value before mapping to WFS coordinates. Range -180 to 180. The WFS-DIY internal convention is 0 = audience, +90 = stage right (+X), positive = counter-clockwise from above; use this offset to align with senders that use a different zero.
ADM-OSC	Polar 3 Invert Azimuth	admPolarAzimuthFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 3.	Invert the direction of incoming azimuth.
ADM-OSC	Polar 3 Invert Elevation	admPolarElevationFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 3.	Invert the sign of incoming elevation.
ADM-OSC	Polar 3 Distance Min	admPolarDistMin	number box	FLOAT	0.0	50.0	0.0	m		For Polar mapping 3. Legacy param: kept for project-file migration.	Minimum physical distance (m) at ADM-OSC distance=0.
ADM-OSC	Polar 3 Distance Breakpoint	admPolarDistBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Polar mapping 3. Normalized breakpoint of the piecewise-linear distance mapping.	Normalized breakpoint (0-1) for piecewise linear distance stretch.
ADM-OSC	Polar 3 Distance Inner Width	admPolarDistInner	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 3. Extent from center to breakpoint.	Physical extent (m) from center to breakpoint.
ADM-OSC	Polar 3 Distance Outer Width	admPolarDistOuter	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 3. Extent from breakpoint to max distance.	Physical extent (m) from breakpoint to max distance.
ADM-OSC	Polar 3 Distance Center	admPolarDistCenter	number box	FLOAT	-50.0	50.0	0.0	m		For Polar mapping 3. Physical distance (m) where normalized 0.0 maps to.	Physical distance (m) where normalized 0.0 maps to.
ADM-OSC	Polar 4 Azimuth Offset	admPolarAzimuthOffset	number box	FLOAT	-180.0	180.0	0.0	degrees		For Polar mapping 4.	ADM-OSC azimuth offset in degrees, added to the incoming `azimuth` value before mapping to WFS coordinates. Range -180 to 180. The WFS-DIY internal convention is 0 = audience, +90 = stage right (+X), positive = counter-clockwise from above; use this offset to align with senders that use a different zero.
ADM-OSC	Polar 4 Invert Azimuth	admPolarAzimuthFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 4.	Invert the direction of incoming azimuth.
ADM-OSC	Polar 4 Invert Elevation	admPolarElevationFlip	toggle button	INT	0	1	0		OFF ; ON	For Polar mapping 4.	Invert the sign of incoming elevation.
ADM-OSC	Polar 4 Distance Min	admPolarDistMin	number box	FLOAT	0.0	50.0	0.0	m		For Polar mapping 4. Legacy param: kept for project-file migration.	Minimum physical distance (m) at ADM-OSC distance=0.
ADM-OSC	Polar 4 Distance Breakpoint	admPolarDistBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Polar mapping 4. Normalized breakpoint of the piecewise-linear distance mapping.	Normalized breakpoint (0-1) for piecewise linear distance stretch.
ADM-OSC	Polar 4 Distance Inner Width	admPolarDistInner	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 4. Extent from center to breakpoint.	Physical extent (m) from center to breakpoint.
ADM-OSC	Polar 4 Distance Outer Width	admPolarDistOuter	number box	FLOAT	0.1	50.0	5.0	m		For Polar mapping 4. Extent from breakpoint to max distance.	Physical extent (m) from breakpoint to max distance.
ADM-OSC	Polar 4 Distance Center	admPolarDistCenter	number box	FLOAT	-50.0	50.0	0.0	m		For Polar mapping 4. Physical distance (m) where normalized 0.0 maps to.	Physical distance (m) where normalized 0.0 maps to.
Tracking	Tracking Enabled	trackingEnabled	toggle button	INT	0	1	0		OFF ; ON	Global enable for all tracking input.	Enable or Disable Incoming Tracking data processing.
Tracking	Tracking Protocol	trackingProtocol	drop down menu	INT	0	4	0		DISABLED ; OSC ; PosiStageNet (PSN) ; RTTrP ; MQTT	Greyed out but editable if trackingEnabled == 0.	Select the type of Tracking Protocol.
Tracking	Tracking Rx Port	trackingPort	number box	INT	1	65535	7000	Port		Greyed out but editable if trackingEnabled == 0.	Specify the Port to receive Tracking data.
Tracking	Tracking OSC Path	trackingOscPath	editable text box	STRING						Visible only when Tracking Protocol == OSC. Must start with '/'.	OSC Path for the Tracking in OSC Mode (starts with a /).
Tracking	Tracking PSN Interface	trackingPsnInterface	drop down menu	STRING						Visible only when Tracking Protocol == PSN. Dynamically populated from network interfaces.	Network interface for PSN multicast reception.
Tracking	Tracking MQTT Host	trackingMqttHost	editable text box	STRING						Visible only when Tracking Protocol == MQTT. MQTT broker hostname or IP.	MQTT broker hostname or IP.
Tracking	Tracking MQTT Topic	trackingMqttTopic	editable text box	STRING						Visible only when Tracking Protocol == MQTT. Topic to subscribe to.	MQTT topic to subscribe for tracking data.
Tracking	Tracking MQTT Tag IDs	trackingMqttTagIds	text button	STRING			Tag IDs...			Visible only when Tracking Protocol == MQTT. Opens a dialog to map MQTT tag IDs to WFS input channel IDs.	Edit the mapping of MQTT tag IDs to WFS input channel IDs.
Tracking	Tracking MQTT JSON X Field	trackingMqttJsonX	drop down menu	STRING			x			Visible only when Tracking Protocol == MQTT. Editable; auto-populated from discovered JSON keys in the MQTT payload.	JSON field name in the MQTT payload for X coordinate.
Tracking	Tracking MQTT JSON Y Field	trackingMqttJsonY	drop down menu	STRING			y			Visible only when Tracking Protocol == MQTT. Editable; auto-populated from discovered JSON keys in the MQTT payload.	JSON field name in the MQTT payload for Y coordinate.
Tracking	Tracking MQTT JSON Z Field	trackingMqttJsonZ	drop down menu	STRING			z			Visible only when Tracking Protocol == MQTT. Editable; auto-populated from discovered JSON keys in the MQTT payload.	JSON field name in the MQTT payload for Z coordinate.
Tracking	Tracking MQTT JSON Q Field	trackingMqttJsonQ	drop down menu	STRING			quality			Visible only when Tracking Protocol == MQTT. Editable; auto-populated from discovered JSON keys in the MQTT payload.	JSON field name in the MQTT payload for quality / quaternion extraction.
Tracking	Tracking Offset X	trackingOffsetX	number box	FLOAT	-50.0	50.0	0.0	m		Greyed out but editable if trackingEnabled == 0.	Offset Tracking X Coordinate.
Tracking	Tracking Offset Y	trackingOffsetY	number box	FLOAT	-50.0	50.0	0.0	m		Greyed out but editable if trackingEnabled == 0.	Offset Tracking Y Coordinate.
Tracking	Tracking Offset Z	trackingOffsetZ	number box	FLOAT	-50.0	50.0	0.0	m		Greyed out but editable if trackingEnabled == 0.	Offset Tracking Z Coordinate.
Tracking	Tracking Scale X	trackingScaleX	number box	FLOAT	0.01	100.0	1.0	x		Greyed out but editable if trackingEnabled == 0.	Scale Tracking X Coordinate.
Tracking	Tracking Scale Y	trackingScaleY	number box	FLOAT	0.01	100.0	1.0	x		Greyed out but editable if trackingEnabled == 0.	Scale Tracking Y Coordinate.
Tracking	Tracking Scale Z	trackingScaleZ	number box	FLOAT	0.01	100.0	1.0	x		Greyed out but editable if trackingEnabled == 0.	Scale Tracking Z Coordinate.
Tracking	Tracking Flip X	trackingFlipX	toggle button	INT	0	1	0		OFF ; ON	Greyed out but editable if trackingEnabled == 0.	Invert Axis of Tracking X Coordinate.
Tracking	Tracking Flip Y	trackingFlipY	toggle button	INT	0	1	0		OFF ; ON	Greyed out but editable if trackingEnabled == 0.	Invert Axis of Tracking Y Coordinate.
Tracking	Tracking Flip Z	trackingFlipZ	toggle button	INT	0	1	0		OFF ; ON	Greyed out but editable if trackingEnabled == 0.	Invert Axis of Tracking Z Coordinate.
