Section	Label	Variable	UI	Type	Min	Max	Default	Tier	Formula for UI elements (x from 0.0 to 1.0)	Unit	enum	Notes	OSC path	OSC "inc" or "dec" before value to increment of decrement	OSC path optional value	OSC remote path	Hover help text in the status bar	Keyboard shortcuts	Models
L.F.O	Period	effectLFOperiod	Dial	FLOAT	0.01	100.0	5.0	1	pow(10.0,sqrt(x)*4.0-2.0)	s		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0	/wfs/effect/LFOperiod <ID> <value>	y	extra value is transition time in seconds		Base Period of the Movement of the Effect Return.		
L.F.O	Phase	effectLFOphase	Direction dial	INT	-180	180	0	1	(x*360)-180	°		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0	/wfs/effect/LFOphase <ID> <value>	y	extra value is transition time in seconds		Global LFO phase offset for this effect return in degrees, range -180 to 180. 0 = start of cycle, 90 = quarter-cycle in. Combined additively with the per-axis phase (LFOphaseX/Y/Z). Values sent in the legacy 0-360 convention are wrapped to the equivalent angle.		
L.F.O	Shape X	effectLFOshapeX	Drop down menu	INT	0	8	0	1			OFF; sine; square; sawtooth; triangle; keystone; log; exp; random	Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0	/wfs/effect/LFOshapeX <ID> <value>				Movement Behaviour of the Effect Return in Width.		
L.F.O	Shape Y	effectLFOshapeY	Drop down menu	INT	0	8	0	1			OFF; sine; square; sawtooth; triangle; keystone; log; exp; random	Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0	/wfs/effect/LFOshapeY <ID> <value>				Movement Behaviour of the Effect Return in Depth.		
L.F.O	Shape Z	effectLFOshapeZ	Drop down menu	INT	0	8	0	1			OFF; sine; square; sawtooth; triangle; keystone; log; exp; random	Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0	/wfs/effect/LFOshapeZ <ID> <value>				Movement Behaviour of the Effect Return in Height.		
L.F.O	Rate X	effectLFOrateX	H Slider	FLOAT	0.01	100	1.0	1	pow(10.0,(x*4.0)-2.0)	x		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeX == 0	/wfs/effect/LFOrateX <ID> <value>	y	extra value is transition time in seconds		Faster or Slower Movement in Relation to Base Period in Width.		
L.F.O	Rate Y	effectLFOrateY	H Slider	FLOAT	0.01	100	1.0	1	pow(10.0,(x*4.0)-2.0)	x		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeY == 0	/wfs/effect/LFOrateY <ID> <value>	y	extra value is transition time in seconds		Faster or Slower Movement in Relation to Base Period in Depth.		
L.F.O	Rate Z	effectLFOrateZ	H Slider	FLOAT	0.01	100	1.0	1	pow(10.0,(x*4.0)-2.0)	x		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeZ == 0	/wfs/effect/LFOrateZ <ID> <value>	y	extra value is transition time in seconds		Faster or Slower Movement in Relation to Base Period in Height.		
L.F.O	Amplitude X	effectLFOamplitudeX	H Bidirectional slider	FLOAT	0.0	50.0	1.0	1	x*50.0	m		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeX == 0	/wfs/effect/LFOamplitudeX <ID> <value>	y	extra value is transition time in seconds		Width of Movement in Relation to Base Position of the Effect Return.		
L.F.O	Amplitude Y	effectLFOamplitudeY	H Bidirectional slider	FLOAT	0.0	50.0	1.0	1	x*50.0	m		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeY == 0	/wfs/effect/LFOamplitudeY <ID> <value>	y	extra value is transition time in seconds		Depth of Movement in Relation to Base Position of the Effect Return.		
L.F.O	Amplitude Z	effectLFOamplitudeZ	H Bidirectional slider	FLOAT	0.0	50.0	1.0	1	x*50.0	m		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeZ == 0	/wfs/effect/LFOamplitudeZ <ID> <value>	y	extra value is transition time in seconds		Height of Movement in Relation to Base Position of the Effect Return.		
L.F.O	Phase X	effectLFOphaseX	Direction dial	INT	-180	180	0	1	(x*360)-180	°		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeX == 0	/wfs/effect/LFOphaseX <ID> <value>	y	extra value is transition time in seconds		X-axis (width) LFO phase offset for this effect return in degrees, range -180 to 180. Stacks on top of the global LFOphase.		
L.F.O	Phase Y	effectLFOphaseY	Direction dial	INT	-180	180	0	1	(x*360)-180	°		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeY == 0	/wfs/effect/LFOphaseY <ID> <value>	y	extra value is transition time in seconds		Y-axis (depth) LFO phase offset for this effect return in degrees, range -180 to 180. Stacks on top of the global LFOphase.		
L.F.O	Phase Z	effectLFOphaseZ	Direction dial	INT	-180	180	0	1	(x*360)-180	°		Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets. Greyed out but editable when effectLFOactive == 0 or effectLFOshapeZ == 0	/wfs/effect/LFOphaseZ <ID> <value>	y	extra value is transition time in seconds		Z-axis (height) LFO phase offset for this effect return in degrees, range -180 to 180. Stacks on top of the global LFOphase.		
Chain	Chain Order	effectChainOrder	Module tile strip (drag to reorder)	STRING			dist,eq1,eq2,dyn1,dyn2,mod,phaser,trem,reverb,delay,crush	1				Node <Chain>. A permutation of the eleven slot tokens of spatcore::effects::kSlots, in any order; an invalid string keeps the last valid order and logs. Reordering never moves parameter state, and the token table is append-only. Propagates through link groups.	/wfs/effect/chainOrder <ID> "<csv>"				Processing order of the eleven module slots. Drag the tiles to reorder.		
Chain	Chain Bypass	effectChainBypass	Text button	INT	0	1	0	1			OFF ; ON	Node <Chain>. 1 = the whole chain is skipped. R3-6: treated like a module bypass - skip, then reset once at silence.	/wfs/effect/chainBypass <ID> <value>				Bypass the whole effect chain.		
Chain	Module Bypass LED		LED indicator									One per module tile. Reflects the slot's own effect<Mod>Bypass property; clicking the LED writes that property, it is not a parameter of its own.					Toggle this module's bypass.		
Chain	Chain Latency		read-only text									Telemetry, never a tree property (plan 5.10). R4-6: computed once per batch after the join and published as a per-channel atomic. Surfaced in the GPU-pipeline strip and in the MCP describeChannelFull block.					Intrinsic latency this chain reports, in samples.		
FxDist	Distortion Bypass	effectDistBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxDist>. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/distBypass <ID> <value>				Bypass the distortion module.		
FxDist	Drive	effectDistDrive	H slider	FLOAT	0.0	40.0	12.0	2	min+(max-min)*x	dB		Node <FxDist>. Tier 2 on purpose: 40 dB of gain.	/wfs/effect/distDrive <ID> <value>	y	extra value is transition time in seconds		Input gain into the shapers (0 - 40 dB).		
FxDist	Shape	effectDistShape	H slider	FLOAT	0.0	1.0	0.5	1	min+(max-min)*x			Node <FxDist>. Continuous crossfade, the prototype's "waveform": 0 = hard clip at +-0.8, 1 = tanh.	/wfs/effect/distShape <ID> <value>	y	extra value is transition time in seconds		Blend from hard clipping (0) to tanh saturation (1).		
FxDist	Bias	effectDistBias	Basic dial	FLOAT	-0.5	0.5	0.0	1	min+(max-min)*x			Node <FxDist>. Asymmetry, which adds even harmonics - the "tube" colour. A DC blocker is engaged only when bias is not 0.	/wfs/effect/distBias <ID> <value>	y	extra value is transition time in seconds		Asymmetry of the shaper, for even-harmonic (tube-like) colour.		
FxDist	Pre Low Shelf Frequency	effectDistPreLoShelfFreq	H slider (log)	FLOAT	20.0	2000.0	20.0	1	min*pow(max/min,x)	Hz		Node <FxDist>. RBJ low shelf before the shaper, slope 0.7 (OutputEQBiquadFilter shapes 2 and 5). The prototype's defects P1 (missing brackets in alpha) and P2 (gain converted from dB twice) are deliberately NOT reproduced.	/wfs/effect/distPreLoShelfFreq <ID> <value>	y	extra value is transition time in seconds		Corner frequency of the low shelf before the distortion shaper.		
FxDist	Pre Low Shelf Gain	effectDistPreLoShelfGain	Basic dial	FLOAT	-24.0	24.0	0.0	1	min+(max-min)*x	dB		Node <FxDist>. Gain in dB means gain in dB (prototype defect P2 not reproduced).	/wfs/effect/distPreLoShelfGain <ID> <value>	y	extra value is transition time in seconds		Gain of the low shelf before the distortion shaper.		
FxDist	Pre High Shelf Frequency	effectDistPreHiShelfFreq	H slider (log)	FLOAT	1000.0	20000.0	20000.0	1	min*pow(max/min,x)	Hz		Node <FxDist>. RBJ high shelf before the shaper, slope 0.7 (OutputEQBiquadFilter shapes 2 and 5). The prototype's defects P1 (missing brackets in alpha) and P2 (gain converted from dB twice) are deliberately NOT reproduced.	/wfs/effect/distPreHiShelfFreq <ID> <value>	y	extra value is transition time in seconds		Corner frequency of the high shelf before the distortion shaper.		
FxDist	Pre High Shelf Gain	effectDistPreHiShelfGain	Basic dial	FLOAT	-24.0	24.0	0.0	1	min+(max-min)*x	dB		Node <FxDist>. Gain in dB means gain in dB (prototype defect P2 not reproduced).	/wfs/effect/distPreHiShelfGain <ID> <value>	y	extra value is transition time in seconds		Gain of the high shelf before the distortion shaper.		
FxDist	Post Low Shelf Frequency	effectDistPostLoShelfFreq	H slider (log)	FLOAT	20.0	2000.0	20.0	1	min*pow(max/min,x)	Hz		Node <FxDist>. RBJ low shelf after the shaper, slope 0.7 (OutputEQBiquadFilter shapes 2 and 5). The prototype's defects P1 (missing brackets in alpha) and P2 (gain converted from dB twice) are deliberately NOT reproduced.	/wfs/effect/distPostLoShelfFreq <ID> <value>	y	extra value is transition time in seconds		Corner frequency of the low shelf after the distortion shaper.		
FxDist	Post Low Shelf Gain	effectDistPostLoShelfGain	Basic dial	FLOAT	-24.0	24.0	0.0	1	min+(max-min)*x	dB		Node <FxDist>. Gain in dB means gain in dB (prototype defect P2 not reproduced).	/wfs/effect/distPostLoShelfGain <ID> <value>	y	extra value is transition time in seconds		Gain of the low shelf after the distortion shaper.		
FxDist	Post High Shelf Frequency	effectDistPostHiShelfFreq	H slider (log)	FLOAT	1000.0	20000.0	20000.0	1	min*pow(max/min,x)	Hz		Node <FxDist>. RBJ high shelf after the shaper, slope 0.7 (OutputEQBiquadFilter shapes 2 and 5). The prototype's defects P1 (missing brackets in alpha) and P2 (gain converted from dB twice) are deliberately NOT reproduced.	/wfs/effect/distPostHiShelfFreq <ID> <value>	y	extra value is transition time in seconds		Corner frequency of the high shelf after the distortion shaper.		
FxDist	Post High Shelf Gain	effectDistPostHiShelfGain	Basic dial	FLOAT	-24.0	24.0	0.0	1	min+(max-min)*x	dB		Node <FxDist>. Gain in dB means gain in dB (prototype defect P2 not reproduced).	/wfs/effect/distPostHiShelfGain <ID> <value>	y	extra value is transition time in seconds		Gain of the high shelf after the distortion shaper.		
FxDist	Output	effectDistOutput	H slider	FLOAT	-24.0	12.0	-6.0	1	min+(max-min)*x	dB		Node <FxDist>. Output attenuation after the shaper, before the post shelves.	/wfs/effect/distOutput <ID> <value>	y	extra value is transition time in seconds		Distortion output level (-24 to +12 dB).		
FxDist	Mix	effectDistMix	H slider	FLOAT	0.0	100.0	100.0	1	min+(max-min)*x	%		Node <FxDist>. WET percentage. The prototype's wetDry sub-patch takes the DRY fraction, so an A/B against Max maps mix_ours = 100 - mix_max.	/wfs/effect/distMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the distortion module (wet %).		
FxDist	Oversampling	effectDistOversample	Drop down menu	INT	0	3	0	1			Auto (0) ; Off (1) ; 2x (2) ; 4x (3)	Node <FxDist>. Auto policy: 4x at 48 kHz and below, 2x at 88.2/96 kHz, off at 176.4 kHz and above. Oversampling is the module's only source of latency.	/wfs/effect/distOversample <ID> <value>				Oversampling factor for the distortion shaper.		
FxEQ	EQ Bypass	effectEQBypass	Text button	INT	0	1	1	1			OFF ; ON	Nodes <FxEq1> / <FxEq2>, six <Band id="1".."6"> children each. Two instances per chain, node types FxEq1 and FxEq2; the node IS the instance, so the wire carries <instance> 1-2. The bypass lives on the module node, the five band properties on its Band children. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/EQBypass <ID> <instance> <value>				Bypass this EQ instance.		
FxEQ	EQ Flatten		text button (long-press)				Flatten EQ					Long-press to reset all 6 bands of the selected EQ instance on this channel to defaults.					Long-press to flatten this EQ instance.		
FxEQ	EQ Band Reset		text button (long-press)				Reset Band					For each of 6 EQ bands. Long-press to reset that single band to its default shape/freq/gain/Q/slope.					Long-press to reset this EQ band.		
FxEQ	EQ Display		interactive display									Per-instance EQ graph, EQDisplayConfig::forEffectEQ() cloned from forOutputEQ(). Click a marker to select a band, drag horizontally to set frequency, vertically to set gain, mouse-wheel to adjust Q.					Drag the EQ band markers; use the mouse wheel on a marker to adjust its Q.		
FxEQ	EQ Shape	effectEQshape	Drop down menu	INT	0	7	1 / 2 / 3 / 3 / 5 / 6	1			OFF (0) ; Low Cut (1) ; Low Shelf (2) ; Peak/Notch (3) ; Band Pass (4) ; High Shelf (5) ; High Cut (6) ; All Pass (7)	Nodes <FxEq1> / <FxEq2>, six <Band id="1".."6"> children each. Two instances per chain, node types FxEq1 and FxEq2; the node IS the instance, so the wire carries <instance> 1-2. Shape ids are the OUTPUT EQ's numbering, not the reverb EQ's. Plan 5.2 writes the range as 1..7; the code takes 0 as well, so an effects band can be switched off one at a time like every other EQ in the app (the module documents 0 as a true bypass). Default shapes per band: Low Cut, Low Shelf, Peak/Notch, Peak/Notch, High Shelf, High Cut.	/wfs/effect/EQshape <ID> <instance> <band> <value>				Select the EQ Mode for Band <Band ID> of this EQ instance.		
FxEQ	EQ Frequency	effectEQfreq	H slider	INT	20	20000	80 / 250 / 1000 / 4000 / 8000 / 12000	1	20*pow(10,3*x)	Hz		Nodes <FxEq1> / <FxEq2>, six <Band id="1".."6"> children each. Two instances per chain, node types FxEq1 and FxEq2; the node IS the instance, so the wire carries <instance> 1-2. Defaults per band: 80 / 250 / 1000 / 4000 / 8000 / 12000 Hz. Greyed out but editable when the band shape is OFF.	/wfs/effect/EQfreq <ID> <instance> <band> <value>	y	extra value is transition time in seconds		Select the EQ Frequency for Band <Band ID> of this EQ instance.		
FxEQ	EQ Gain	effectEQgain	Basic dial	FLOAT	-24.0	24.0	0.0	1	(x*48)-24	dB		Nodes <FxEq1> / <FxEq2>, six <Band id="1".."6"> children each. Two instances per chain, node types FxEq1 and FxEq2; the node IS the instance, so the wire carries <instance> 1-2. Hidden for Low Cut / High Cut / Band Pass / All Pass shapes. Uniform across the six bands.	/wfs/effect/EQgain <ID> <instance> <band> <value>	y	extra value is transition time in seconds		Select the EQ Gain/Attenuation for Band <Band ID> of this EQ instance.		
FxEQ	EQ Q	effectEQq	Basic dial	FLOAT	0.1	10.0	0.7	1	min*pow(max/min,x)			Nodes <FxEq1> / <FxEq2>, six <Band id="1".."6"> children each. Two instances per chain, node types FxEq1 and FxEq2; the node IS the instance, so the wire carries <instance> 1-2. Bounds are the shared eqQMin/eqQMax (0.1 - 10.0), NOT the 0.1 - 20.0 that WFS-UI_output.csv and WFS-UI_reverb.csv print for their own Q columns. The Q taper is NOT the 0.1+0.21*(pow(100,x)-1) of WFS-UI_output.csv and WFS-UI_reverb.csv: that curve was written for a Max of 20 and reaches 20.89 at x=1, so over 0.1-10.0 it would leave the top 16% of the slider out of range. The log taper spans the real bounds exactly.	/wfs/effect/EQq <ID> <instance> <band> <value>	y	extra value is transition time in seconds		Select the EQ Q for Band <Band ID> of this EQ instance.		
FxEQ	EQ Slope	effectEQslope	Basic dial	FLOAT	0.1	1.0	0.7	1	min+(max-min)*x			Nodes <FxEq1> / <FxEq2>, six <Band id="1".."6"> children each. Two instances per chain, node types FxEq1 and FxEq2; the node IS the instance, so the wire carries <instance> 1-2. Applies to shelf shapes. Bounds are the shared eqSlopeMin/eqSlopeMax (0.1 - 1.0).	/wfs/effect/EQslope <ID> <instance> <band> <value>	y	extra value is transition time in seconds		Select the EQ Slope for Band <Band ID> of this EQ instance.		
FxDyn	Dynamics Bypass	effectDynBypass	Text button	INT	0	1	1	1			OFF ; ON	Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/dynBypass <ID> <instance> <value>				Bypass this dynamics instance.		
FxDyn	Detector	effectDynDetector	Text button	INT	0	1	0	1			Peak (0) ; RMS (1)	Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynDetector <ID> <instance> <value>				Peak or RMS detection for both stages.		
FxDyn	Lookahead	effectDynLookahead	H slider	FLOAT	0.0	5.0	1.0	1	min+(max-min)*x	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. Delays the AUDIO path, so it adds latency; the latency is reported, never compensated.	/wfs/effect/dynLookahead <ID> <instance> <value>	y			Delay the audio so the detector sees a transient first (adds reported latency).		
FxDyn	Makeup Gain	effectDynMakeup	Basic dial	FLOAT	-24.0	24.0	0.0	1	min+(max-min)*x	dB		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynMakeup <ID> <instance> <value>	y	extra value is transition time in seconds		Makeup gain applied after both stages.		
FxDyn	Auto Makeup	effectDynAutoMakeup	Text button	INT	0	1	0	1			OFF ; ON	Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. Auto makeup is -T_c(1 - 1/R_c)/2.	/wfs/effect/dynAutoMakeup <ID> <instance> <value>				Derive the makeup gain from the compressor threshold and ratio.		
FxDyn	Gain Reduction Meter		meter									Read-only real-time gain-reduction display, one per stage, fed at 50 Hz from the block-minimum GR dB (GainReductionMeter::setGainReductionDb). Not a control.					Real-time gain reduction of this dynamics stage.		
FxDyn	Compressor On	effectDynCompOn	Text button	INT	0	1	1	1			OFF ; ON	Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. The compressor STAGE switch, distinct from the module bypass; the compressor stage runs before the expander stage.	/wfs/effect/dynCompOn <ID> <instance> <value>				Enable the compressor stage of this dynamics instance.		
FxDyn	Compressor Threshold	effectDynCompThreshold	H slider	FLOAT	-60.0	0.0	-20.0	1	min+(max-min)*x	dB		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynCompThreshold <ID> <instance> <value>	y	extra value is transition time in seconds		Compressor threshold level (-60 to 0 dB).		
FxDyn	Compressor Ratio	effectDynCompRatio	H slider (log)	FLOAT	1.0	100.0	4.0	1	min*pow(max/min,x)	:1		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. 100 = infinity, i.e. a limiter.	/wfs/effect/dynCompRatio <ID> <instance> <value>	y	extra value is transition time in seconds		Compressor ratio (1:1 to 100:1; 100 is a limiter).		
FxDyn	Compressor Knee	effectDynCompKnee	Basic dial	FLOAT	0.0	24.0	0.0	1	min+(max-min)*x	dB		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. 0 = the prototype's hard knee.	/wfs/effect/dynCompKnee <ID> <instance> <value>	y	extra value is transition time in seconds		Soft-knee width of the compressor (0 = hard knee).		
FxDyn	Compressor Attack	effectDynCompAttack	H slider (log)	FLOAT	0.05	200.0	10.0	1	min*pow(max/min,x)	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynCompAttack <ID> <instance> <value>	y	extra value is transition time in seconds		Compressor attack time (0.05 - 200 ms).		
FxDyn	Compressor Release	effectDynCompRelease	H slider (log)	FLOAT	5.0	2000.0	100.0	1	min*pow(max/min,x)	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynCompRelease <ID> <instance> <value>	y	extra value is transition time in seconds		Compressor release time (5 - 2000 ms).		
FxDyn	Compressor Detector Delay	effectDynCompDetectorDelay	H slider	FLOAT	0.0	50.0	0.0	1	min+(max-min)*x	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. Delays the DETECTOR, not the audio: the first milliseconds of a transient pass at unity and the gain reduction lands afterwards at full attack speed. Adds no latency. The prototype's CdetectionDelay, kept on purpose.	/wfs/effect/dynCompDetectorDelay <ID> <instance> <value>	y	extra value is transition time in seconds		Let a transient through before the compressor grabs (transient pass, no latency).		
FxDyn	Compressor Sidechain Low Cut	effectDynCompScLoCut	H slider (log)	FLOAT	20.0	2000.0	20.0	1	min*pow(max/min,x)	Hz		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. RBJ 2nd-order high-pass at Q = 0.6 on the detector only.	/wfs/effect/dynCompScLoCut <ID> <instance> <value>	y	extra value is transition time in seconds		High-pass the compressor's sidechain detector.		
FxDyn	Compressor Sidechain High Cut	effectDynCompScHiCut	H slider (log)	FLOAT	1000.0	20000.0	20000.0	1	min*pow(max/min,x)	Hz		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. RBJ 2nd-order low-pass at Q = 0.6 on the detector only. Prototype defect P4 (a stale default of 20 Hz that muted the detector) is NOT reproduced: the default is 20 kHz.	/wfs/effect/dynCompScHiCut <ID> <instance> <value>	y	extra value is transition time in seconds		Low-pass the compressor's sidechain detector.		
FxDyn	Expander On	effectDynExpOn	Text button	INT	0	1	0	1			OFF ; ON	Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. The expander STAGE switch. Its detector taps the module INPUT, not the compressed signal.	/wfs/effect/dynExpOn <ID> <instance> <value>				Enable the expander stage of this dynamics instance.		
FxDyn	Expander Threshold	effectDynExpThreshold	H slider	FLOAT	-90.0	0.0	-50.0	1	min+(max-min)*x	dB		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynExpThreshold <ID> <instance> <value>	y	extra value is transition time in seconds		Expander threshold level (-90 to 0 dB).		
FxDyn	Expander Ratio	effectDynExpRatio	H slider (log)	FLOAT	1.0	100.0	2.0	1	min*pow(max/min,x)	:1		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. 100 = a gate. Prototype defect P3 (the expander realised a ratio of 2 - 1/R) is NOT reproduced.	/wfs/effect/dynExpRatio <ID> <instance> <value>	y	extra value is transition time in seconds		Downward expander ratio (1:1 to 1:100; 100 is a gate).		
FxDyn	Expander Attack	effectDynExpAttack	H slider (log)	FLOAT	0.05	200.0	10.0	1	min*pow(max/min,x)	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynExpAttack <ID> <instance> <value>	y	extra value is transition time in seconds		Expander attack time (0.05 - 200 ms).		
FxDyn	Expander Release	effectDynExpRelease	H slider (log)	FLOAT	5.0	2000.0	100.0	1	min*pow(max/min,x)	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynExpRelease <ID> <instance> <value>	y	extra value is transition time in seconds		Expander release time (5 - 2000 ms).		
FxDyn	Expander Range	effectDynExpRange	H slider	FLOAT	-80.0	0.0	-60.0	1	min+(max-min)*x	dB		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. Floor of the downward expansion; what makes the stage usable as a gate.	/wfs/effect/dynExpRange <ID> <instance> <value>	y	extra value is transition time in seconds		Maximum attenuation the expander may apply (-80 to 0 dB).		
FxDyn	Expander Hold	effectDynExpHold	H slider	FLOAT	0.0	500.0	20.0	1	min+(max-min)*x	ms		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynExpHold <ID> <instance> <value>	y	extra value is transition time in seconds		Hold time before the expander starts to close.		
